dataset	regime	panel	seed	depth	unit	allocations	biological_roots	contrast	family	utility_before	utility_after	utility_gain	structural_input_unused	deterministic_seed_alias
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	NC	-0.4177725953783189	-0.4177725953783189	-3.5596525727044075e-18	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	CM	-0.3578176134555455	-0.3578176134555455	-1.5334955527634977e-18	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	TW	-0.3562332346686726	-0.3562332346686726	-1.519617764955683e-18	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	PCA	-0.35636241098050025	-0.35636241098050014	-1.1171619185290638e-18	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	RBF	-0.3565642898059135	-0.3565642898059135	-1.547373340571312e-18	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	scGen	-0.6018181308647235	-0.5899449739194745	0.011873156945248533	False	False
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	CPA	-0.867538123002515	-0.8593514209883799	0.008186702014135173	False	False
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_O	CellOT	-0.6104966317989483	-0.5955614660848957	0.014935165714052621	False	False
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	NC	-0.4177725953783189	-0.4177725953783189	0.0	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	CM	-0.3578176134555455	-0.3578176134555455	0.0	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	TW	-0.3562332346686726	-0.3562332346686726	0.0	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	PCA	-0.35636241098050025	-0.35636241098050025	0.0	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	RBF	-0.3565642898059135	-0.3565642898059135	0.0	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	scGen	-0.6018181308647235	-0.6136912878032699	-0.011873156938546497	False	False
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	CPA	-0.867538123002515	-0.8757248250154523	-0.008186702012937384	False	False
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	D_to_P	CellOT	-0.6104966317989483	-0.6254317975107391	-0.01493516571179092	False	False
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	NC	-0.41777259537831896	-0.4177725953783189	1.602190602412179e-17	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	CM	-0.3578176134555455	-0.3578176134555455	2.317590563905014e-18	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	TW	-0.3562332346686726	-0.3562332346686726	1.6861512186494565e-18	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	PCA	-0.35636241098050025	-0.35636241098050025	1.845745778439323e-18	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	RBF	-0.3565642898059135	-0.3565642898059135	2.0886070650760757e-18	True	True
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	scGen	-0.13415395897527715	-0.13415395897530039	-2.3248099625950018e-14	False	False
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	CPA	-0.3998739511213466	-0.399873951123901	-2.554525688203135e-12	False	False
gse162632	original8	primary	17	4	equal_eight_root_mean	1000	8	S_to_M	CellOT	-0.14283245991218257	-0.14283245991227173	-8.918993495143948e-14	False	False
gse162632	original8	primary	17	4	root_00	1000	1	D_to_O	NC	-0.42249093542884086	-0.42249093542884086	-4.107825191113079e-18	True	True
gse162632	original8	primary	17	4	root_00	1000	1	D_to_O	CM	-0.3740998668579828	-0.3740998668579828	-1.7208456881689926e-18	True	True
gse162632	original8	primary	17	4	root_00	1000	1	D_to_O	TW	-0.37111033785063013	-0.37111033785063013	-2.331468351712829e-18	True	True
gse162632	original8	primary	17	4	root_00	1000	1	D_to_O	PCA	-0.3717574954981464	-0.37175749549814635	-1.609823385706477e-18	True	True
gse162632	original8	primary	17	4	root_00	1000	1	D_to_O	RBF	-0.37196863132706126	-0.37196863132706126	-1.1657341758564144e-18	True	True
gse162632	original8	primary	17	4	root_00	1000	1	D_to_O	scGen	-0.6265701918465337	-0.6133742261057119	0.013195965740821056	False	False
gse162632	original8	primary	17	4	root_00	1000	1	D_to_O	CPA	-0.9478320424600415	-0.9383558308375615	0.009476211622478038	False	False
gse162632	original8	primary	17	4	root_00	1000	1	D_to_O	CellOT	-0.6382198701499701	-0.6223349639746156	0.015884906175353614	False	False
gse162632	original8	primary	17	4	root_00	1000	1	D_to_P	NC	-0.42249093542884086	-0.42249093542884086	0.0	True	True
gse162632	original8	primary	17	4	root_00	1000	1	D_to_P	CM	-0.3740998668579828	-0.3740998668579828	0.0	True	True
gse162632	original8	primary	17	4	root_00	1000	1	D_to_P	TW	-0.37111033785063013	-0.37111033785063013	0.0	True	True
gse162632	original8	primary	17	4	root_00	1000	1	D_to_P	PCA	-0.3717574954981464	-0.3717574954981464	0.0	True	True
gse162632	original8	primary	17	4	root_00	1000	1	D_to_P	RBF	-0.37196863132706126	-0.37196863132706126	0.0	True	True
gse162632	original8	primary	17	4	root_00	1000	1	D_to_P	scGen	-0.6265701918465337	-0.6397661575857428	-0.013195965739208823	False	False
gse162632	original8	primary	17	4	root_00	1000	1	D_to_P	CPA	-0.9478320424600415	-0.9573082541006193	-0.009476211640580155	False	False
